common_name,scientific_name,n_records,n_complete,has_data,rank
Sedge Wren,Cistothorus stellaris,95,72,0,614
Falcated Duck,Mareca falcata,107,71,0,615
Lesser Flamingo,Phoeniconaias minor,80,70,0,616
Lesser Frigatebird,Fregata ariel,163,66,0,617
White-fronted Amazon,Amazona albifrons,75,61,0,618
Smith's Longspur,Calcarius pictus,65,59,0,619
Tristram's Storm-Petrel,Hydrobates tristrami,59,59,0,620
Kelp Gull,Larus dominicanus,86,58,0,621
Black-bellied Whistling-Duck,Dendrocygna autumnalis,88,58,0,622
Veery,Catharus fuscescens,61,57,0,623
Black-headed Weaver,Ploceus melanocephalus,61,56,0,624
Great Shearwater,Ardenna gravis,55,55,0,625
Northern Wheatear,Oenanthe oenanthe,84,55,0,626
Black-rumped Waxbill,Estrilda troglodytes,57,55,0,627
Cerulean Warbler,Setophaga cerulea,67,54,0,628
Swan Goose,Anser cygnoides,61,53,0,629
Scaly-headed Parrot,Pionus maximiliani,52,52,0,630
Red-cheeked Cordonbleu,Uraeginthus bengalus,55,51,0,631
Cory's Shearwater,Calonectris borealis,49,49,0,632
Rosy-faced Lovebird,Agapornis roseicollis,77,48,0,633
Eurasian Whimbrel,Numenius phaeopus,51,46,0,634
Upland Sandpiper,Bartramia longicauda,49,43,0,635
Yellow-browed Warbler,Phylloscopus inornatus,46,42,0,636
Chiloe Wigeon,Mareca sibilatrix,48,38,0,637
Band-rumped Storm-Petrel,Hydrobates castro,38,38,0,638
Gray Hawk,Buteo plagiatus,62,38,0,639
Indian Silverbill,Euodice malabarica,40,34,0,640
Yellow-crowned Bishop,Euplectes afer,37,32,0,641
Connecticut Warbler,Oporornis agilis,33,31,0,642
Gray-tailed Tattler,Tringa brevipes,48,29,0,643
Chihuahuan Meadowlark,Sturnella lilianae,31,29,0,644
Northern Bobwhite,Colinus virginianus,49,29,0,645
Cassia Crossbill,Loxia sinesciuris,30,27,0,646
Asian Tit,Parus cinereus,31,26,0,647
Turquoise-fronted Amazon,Amazona aestiva,28,26,0,648
Waved Albatross,Phoebastria irrorata,25,25,0,649
Gray Thrasher,Toxostoma cinereum,36,24,0,650
African Collared-Dove,Streptopelia roseogrisea,27,23,0,651
Common Shelduck,Tadorna tadorna,25,23,0,652
Ringed Teal,Callonetta leucophrys,25,23,0,653
Muscovy Duck,Cairina moschata,28,22,0,654
White-chinned Petrel,Procellaria aequinoctialis,20,19,0,655
Sooty Tern,Onychoprion fuscatus,26,18,0,656
Zebra Dove,Geopelia striata,17,17,0,657
Xantus's Hummingbird,Basilinna xantusii,22,17,0,658
Yellow-collared Lovebird,Agapornis personatus,22,16,0,659
Wilson's Plover,Anarhynchus wilsonia,25,16,0,660
Bar-headed Goose,Anser indicus,17,16,0,661
Broad-tailed Paradise-Whydah,Vidua obtusa,17,16,0,662
European Greenfinch,Chloris chloris,15,15,0,663
Bridled Tern,Onychoprion anaethetus,16,14,0,664
Song Thrush,Turdus philomelos,14,14,0,665
Eastern Warbling Vireo,Vireo gilvus,14,14,0,666
Blue-gray Tanager,Thraupis episcopus,15,14,0,667
Crested Auklet,Aethia cristatella,14,14,0,668
Pied Crow,Corvus albus,14,13,0,669
Common Quail,Coturnix coturnix,14,12,0,670
Green Jay,Cyanocorax yncas,14,12,0,671
Venezuelan Troupial,Icterus icterus,14,10,0,672
Red-vented Bulbul,Pycnonotus cafer,10,10,0,673
Golden Pheasant,Chrysolophus pictus,11,9,0,674
Gray Crowned-Crane,Balearica regulorum,12,9,0,675
Japanese Quail,Coturnix japonica,10,8,0,676
Red Junglefowl,Gallus gallus,9,8,0,677
Diamond Dove,Geopelia cuneata,11,8,0,678
Red-billed Firefinch,Lagonosticta senegala,8,7,0,679
Eurasian Kestrel,Falco tinnunculus,21,7,0,680
Black-necked Swan,Cygnus melancoryphus,7,7,0,681
Keel-billed Toucan,Ramphastos sulfuratus,15,6,0,682
Gouldian Finch,Chloebia gouldiae,13,6,0,683
Thick-billed Murre,Uria lomvia,6,6,0,684
White-winged Crossbill,Loxia leucoptera,8,6,0,685
Oriental Greenfinch,Chloris sinica,5,5,0,686
Small-billed Elaenia,Elaenia parvirostris,5,5,0,687
Varied Bunting,Passerina versicolor,18,4,0,688
Blue-black Grassquit,Volatinia jacarina,4,4,0,689
Star Finch,Emblema ruficauda,4,4,0,690
Saffron Finch,Sicalis flaveola,6,4,0,691
Black-winged Bishop,Euplectes hordeaceus,4,4,0,692
Zebra Waxbill,Amandava subflava,5,4,0,693
Red-crested Cardinal,Paroaria coronata,3,3,0,694
Village Weaver,Ploceus cucullatus,4,3,0,695
Laughing Dove,Spilopelia senegalensis,3,3,0,696
Great Frigatebird,Fregata minor,5,3,0,697
Maroon-bellied Parakeet,Pyrrhura frontalis,2,2,0,698
Diamond Firetail,Stagonopleura guttata,3,2,0,699
Cut-throat,Amadina fasciata,3,2,0,700
Red-and-green Macaw,Ara chloropterus,2,2,0,701
Crested Myna,Acridotheres cristatellus,2,2,0,702
Hawfinch,Coccothraustes coccothraustes,2,2,0,703
Emu,Dromaius novaehollandiae,2,2,0,704
Blue Dacnis,Dacnis cayana,3,2,0,705
Crested Duck,Lophonetta specularioides,2,2,0,706
Bourke's Parrot,Neopsephotus bourkii,2,2,0,707
Citrine Wagtail,Motacilla citreola,3,2,0,708
Sulphur-crested Cockatoo,Cacatua galerita,2,2,0,709
Common Myna,Acridotheres tristis,2,2,0,710
Common Waxbill,Estrilda astrild,2,2,0,711
Jouanin's Petrel,Bulweria fallax,4,2,0,712
Lady Amherst's Pheasant,Chrysolophus amherstiae,3,2,0,713
Kermadec Petrel,Pterodroma neglecta,2,2,0,714
Black Francolin,Francolinus francolinus,2,2,0,715
Demoiselle Crane,Grus virgo,1,1,0,716
Scarlet Macaw,Ara macao,4,1,0,717
Epaulet Oriole,Icterus cayanensis,1,1,0,718
Jandaya Parakeet,Aratinga jandaya,1,1,0,719
White-eared Bulbul,Pycnonotus leucotis,1,1,0,720
Elf Owl,Micrathene whitneyi,1,1,0,721
Red-breasted Goose,Branta ruficollis,1,1,0,722
Village Indigobird,Vidua chalybeata,1,1,0,723
Eurasian Wryneck,Jynx torquilla,1,1,0,724
Parrot-billed Seedeater,Sporophila peruviana,1,1,0,725
Gray Peacock-Pheasant,Polyplectron bicalcaratum,1,1,0,726
White-cheeked Pintail,Anas bahamensis,2,1,0,727
Red Avadavat,Amandava amandava,1,1,0,728
Black-billed Cuckoo,Coccyzus erythropthalmus,1,1,0,729
Bristle-thighed Curlew,Numenius tahitiensis,1,1,0,730
Black-capped Parakeet,Pyrrhura rupicola,1,1,0,731
Rainbow Lorikeet,Trichoglossus moluccanus,3,1,0,732
Sudan Golden Sparrow,Passer luteus,1,1,0,733
Common Ostrich,Struthio camelus,1,1,0,734
Chuck-will's-widow,Antrostomus carolinensis,8,1,0,735
Blue-breasted Quail,Synoicus chinensis,1,1,0,736
Red-throated Twinspot,Hypargos niveoguttatus,2,1,0,737
Southern Red Bishop,Euplectes orix,1,1,0,738
Crimson Rosella,Platycercus elegans,2,1,0,739
European Serin,Serinus serinus,1,1,0,740
Pearl Kite,Gampsonyx swainsonii,1,1,0,741
White-throated Magpie-Jay,Cyanocorax formosus,3,1,0,742
Gray Parrot,Psittacus erithacus,1,1,0,743
White-tailed Eagle,Haliaeetus albicilla,2,1,0,744
Silver Pheasant,Lophura nycthemera,1,1,0,745
Speckled Pigeon,Columba guinea,1,1,0,746
Hooded Siskin,Spinus magellanicus,1,1,0,747
Green-winged Pytilia,Pytilia melba,1,1,0,748
Stejneger's Petrel,Pterodroma longirostris,2,0,0,749
Green-cheeked Parakeet,Pyrrhura molinae,1,0,0,750
Siberian Rubythroat,Calliope calliope,1,0,0,751
Reeves's Pheasant,Syrmaticus reevesii,1,0,0,752
Brown Quail,Synoicus ypsilophorus,1,0,0,753
African Firefinch,Lagonosticta rubricata,1,0,0,754
Gray Go-away-bird,Crinifer concolor,2,0,0,755
Island Canary,Serinus canaria,1,0,0,756
Fork-tailed Flycatcher,Tyrannus savana,2,0,0,757
Namaqua Dove,Oena capensis,1,0,0,758
American Woodcock,Scolopax minor,1,0,0,759
Military Macaw,Ara militaris,2,0,0,760
White-rumped Munia,Lonchura striata,1,0,0,761
Chatham Albatross,Thalassarche eremita,1,0,0,762
Buff-breasted Flycatcher,Empidonax fulvifrons,1,0,0,763
Togo Paradise-Whydah,Vidua togoensis,1,0,0,764
Scaled Quail,Callipepla squamata,1,0,0,765
Baikal Teal,Sibirionetta formosa,1,0,0,766
Double-barred Finch,Stizoptera bichenovii,1,0,0,767
Crested Pigeon,Ocyphaps lophotes,1,0,0,768
Red-tailed Tropicbird,Phaethon rubricauda,1,0,0,769
Hyacinth Macaw,Anodorhynchus hyacinthinus,1,0,0,770
Ainley's Storm-Petrel,Hydrobates cheimomnestes,1,0,0,771
Redpoll,Acanthis flammea,1,0,0,772
Spotted Redshank,Tringa erythropus,3,0,0,773
