common_name,scientific_name,n_records,n_complete,has_data,rank
Clark's Nutcracker,Nucifraga columbiana,42672,38147,0,263
Brewer's Sparrow,Spizella breweri,40685,38086,0,264
Lewis's Woodpecker,Melanerpes lewis,41211,36868,0,265
Ring-necked Pheasant,Phasianus colchicus,39675,36831,0,266
Dusky Flycatcher,Empidonax oberholseri,38240,36362,0,267
Reddish Egret,Egretta rufescens,39228,35775,0,268
Ridgway's Rail,Rallus obsoletus,38421,35678,0,269
Western Cattle-Egret,Ardea ibis,41441,35529,0,270
Ladder-backed Woodpecker,Dryobates scalaris,36766,34626,0,271
Ruddy Turnstone,Arenaria interpres,36747,34397,0,272
Red-masked Parakeet,Psittacara erythrogenys,38648,33947,0,273
Ross's Goose,Anser rossii,36540,33593,0,274
Prairie Falcon,Falco mexicanus,38977,33314,0,275
Buller's Shearwater,Ardenna bulleri,31647,31383,0,276
Wilson's Phalarope,Phalaropus tricolor,33900,31109,0,277
Black-billed Magpie,Pica hudsonia,36470,31060,0,278
Black-tailed Gnatcatcher,Polioptila melanura,32084,30214,0,279
Red Crossbill,Loxia curvirostra,31765,28475,0,280
Tundra Swan,Cygnus columbianus,31818,28331,0,281
Little Blue Heron,Egretta caerulea,29689,27711,0,282
Eurasian Wigeon,Mareca penelope,29877,27438,0,283
Abert's Towhee,Melozone aberti,29026,27335,0,284
Vesper Sparrow,Pooecetes gramineus,29018,27331,0,285
American Bittern,Botaurus lentiginosus,28332,26280,0,286
Bell's Sparrow,Artemisiospiza belli,27913,26200,0,287
Wandering Tattler,Tringa incana,27626,25622,0,288
Hammond's Flycatcher,Empidonax hammondii,26980,25519,0,289
Cocos Booby,Sula brewsteri,23752,22976,0,290
Yellow-chevroned Parakeet,Brotogeris chiriri,23959,21732,0,291
Sage Thrasher,Oreoscoptes montanus,23723,21358,0,292
Western Screech-Owl,Megascops kennicottii,30399,21325,0,293
Red-necked Grebe,Podiceps grisegena,22678,21172,0,294
Common Tern,Sterna hirundo,21836,21020,0,295
Common Ground Dove,Columbina passerina,22277,20512,0,296
Mitred Parakeet,Psittacara mitratus,24505,20482,0,297
Long-tailed Jaeger,Stercorarius longicaudus,20431,20304,0,298
American Dipper,Cinclus mexicanus,23534,20102,0,299
Purple Martin,Progne subis,22236,19814,0,300
Gray Flycatcher,Empidonax wrightii,20862,19516,0,301
Summer Tanager,Piranga rubra,21066,19097,0,302
Red Knot,Calidris canutus,20474,18886,0,303
Tufted Puffin,Fratercula cirrhata,18866,18685,0,304
Scripps's Murrelet,Synthliboramphus scrippsi,18738,18289,0,305
Grasshopper Sparrow,Ammodramus savannarum,19287,17836,0,306
Neotropic Cormorant,Nannopterum brasilianum,19020,17080,0,307
Least Bittern,Botaurus exilis,18163,16829,0,308
Evening Grosbeak,Hesperiphona vespertina,17804,15980,0,309
White-winged Scoter,Melanitta deglandi,16685,15244,0,310
Tropical Kingbird,Tyrannus melancholicus,17002,15048,0,311
Williamson's Sapsucker,Sphyrapicus thyroideus,16098,14633,0,312
Calliope Hummingbird,Selasphorus calliope,16051,14354,0,313
Arctic Tern,Sterna paradisaea,14200,14062,0,314
Black-chinned Sparrow,Spizella atrogularis,14729,13739,0,315
California Condor,Gymnogyps californianus,16476,13594,0,316
Common Poorwill,Phalaenoptilus nuttallii,18981,13148,0,317
Barrow's Goldeneye,Bucephala islandica,14155,13113,0,318
Bank Swallow,Riparia riparia,13903,12859,0,319
Northern Pygmy-Owl,Glaucidium gnoma,14760,12698,0,320
Lesser Nighthawk,Chordeiles acutipennis,16198,12477,0,321
Pectoral Sandpiper,Calidris melanotos,13552,12171,0,322
Nanday Parakeet,Aratinga nenday,13458,12162,0,323
Black-and-white Warbler,Mniotilta varia,13173,12116,0,324
South Polar Skua,Stercorarius maccormicki,12072,11993,0,325
Marbled Murrelet,Brachyramphus marmoratus,11908,11215,0,326
Red-naped Sapsucker,Sphyrapicus nuchalis,11662,10705,0,327
Long-tailed Duck,Clangula hyemalis,11928,10370,0,328
Leach's Storm-Petrel,Hydrobates leucorhous,10429,10321,0,329
Rough-legged Hawk,Buteo lagopus,11558,9995,0,330
Black-legged Kittiwake,Rissa tridactyla,10521,9962,0,331
Craveri's Murrelet,Synthliboramphus craveri,9672,9589,0,332
Common Nighthawk,Chordeiles minor,11986,9534,0,333
Baird's Sandpiper,Calidris bairdii,10635,9507,0,334
Black Scoter,Melanitta americana,10477,9492,0,335
Lilac-crowned Amazon,Amazona finschi,10831,9464,0,336
Swamp Sparrow,Melospiza georgiana,10152,9368,0,337
American Redstart,Setophaga ruticilla,10221,9301,0,338
Sooty Grouse,Dendragapus fuliginosus,11187,9270,0,339
Pinyon Jay,Gymnorhinus cyanocephalus,10867,9247,0,340
Clay-colored Sparrow,Spizella pallida,9975,9190,0,341
Scott's Oriole,Icterus parisorum,9957,9058,0,342
Solitary Sandpiper,Tringa solitaria,9713,8737,0,343
Northern Gannet,Morus bassanus,8702,8419,0,344
Palm Warbler,Setophaga palmarum,9339,8334,0,345
Black Tern,Chlidonias niger,9269,8146,0,346
Tennessee Warbler,Leiothlypis peregrina,8957,8085,0,347
Pacific Golden-Plover,Pluvialis fulva,8937,7791,0,348
Short-eared Owl,Asio flammeus,8853,7394,0,349
Fork-tailed Storm-Petrel,Hydrobates furcatus,7409,7289,0,350
Yellow-headed Amazon,Amazona oratrix,8102,7287,0,351
LeConte's Thrasher,Toxostoma lecontei,8582,7121,0,352
Lucy's Warbler,Leiothlypis luciae,7294,6873,0,353
Plumbeous Vireo,Vireo plumbeus,7494,6857,0,354
Laysan Albatross,Phoebastria immutabilis,6929,6838,0,355
Ancient Murrelet,Synthliboramphus antiquus,7029,6720,0,356
Iceland Gull,Larus glaucoides,7298,6690,0,357
Chestnut-sided Warbler,Setophaga pensylvanica,7427,6689,0,358
Gull-billed Tern,Gelochelidon nilotica,7692,6653,0,359
Northern Red Bishop,Euplectes franciscanus,6932,6517,0,360
Island Scrub-Jay,Aphelocoma insularis,7079,6136,0,361
Northern Saw-whet Owl,Aegolius acadicus,8035,6097,0,362
Sagebrush Sparrow,Artemisiospiza nevadensis,6553,5951,0,363
Black-backed Woodpecker,Picoides arcticus,6699,5924,0,364
Yellow-bellied Sapsucker,Sphyrapicus varius,6745,5895,0,365
Chukar,Alectoris chukar,6727,5871,0,366
Short-tailed Shearwater,Ardenna tenuirostris,5617,5568,0,367
Rose-breasted Grosbeak,Pheucticus ludovicianus,6484,5505,0,368
Northern Parula,Setophaga americana,6170,5501,0,369
Northern Waterthrush,Parkesia noveboracensis,5818,5361,0,370
Cook's Petrel,Pterodroma cookii,5320,5260,0,371
Tricolored Heron,Egretta tricolor,5970,5184,0,372
Indigo Bunting,Passerina cyanea,5606,5114,0,373
Orchard Oriole,Icterus spurius,5744,5099,0,374
Townsend's Storm-Petrel,Hydrobates socorroensis,5089,5039,0,375
Harlequin Duck,Histrionicus histrionicus,5520,4817,0,376
Least Storm-Petrel,Hydrobates microsoma,4913,4812,0,377
Ruff,Calidris pugnax,5188,4501,0,378
Lapland Longspur,Calcarius lapponicus,4950,4484,0,379
Mandarin Duck,Aix galericulata,4930,4470,0,380
Rock Sandpiper,Calidris ptilocnemis,4642,4436,0,381
Mountain Plover,Anarhynchus montanus,5080,4403,0,382
Gila Woodpecker,Melanerpes uropygialis,4670,4372,0,383
Murphy's Petrel,Pterodroma ultima,4361,4296,0,384
Eastern Phoebe,Sayornis phoebe,4737,4292,0,385
Brown-crested Flycatcher,Myiarchus tyrannulus,4372,4183,0,386
Blackpoll Warbler,Setophaga striata,4386,4058,0,387
Franklin's Gull,Leucophaeus pipixcan,4669,4026,0,388
Nazca Booby,Sula granti,4411,4007,0,389
Rose-ringed Parakeet,Psittacula krameri,4451,3957,0,390
Painted Redstart,Myioborus pictus,4504,3876,0,391
Blackburnian Warbler,Setophaga fusca,4319,3855,0,392
Black Swift,Cypseloides niger,4305,3773,0,393
Laughing Gull,Leucophaeus atricilla,4328,3687,0,394
Wilson's Storm-Petrel,Oceanites oceanicus,3643,3636,0,395
Harris's Sparrow,Zonotrichia querula,4049,3620,0,396
Stilt Sandpiper,Calidris himantopus,4185,3608,0,397
Semipalmated Sandpiper,Calidris pusilla,4038,3546,0,398
Inca Dove,Columbina inca,3914,3535,0,399
Magnolia Warbler,Setophaga magnolia,3836,3456,0,400
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,3657,3168,0,401
Glaucous Gull,Larus hyperboreus,3578,3107,0,402
Flesh-footed Shearwater,Ardenna carneipes,3120,3088,0,403
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,3397,3069,0,404
Red-footed Booby,Sula sula,3679,3057,0,405
Yellow-footed Gull,Larus livens,3335,2922,0,406
Canada Jay,Perisoreus canadensis,3241,2826,0,407
Baltimore Oriole,Icterus galbula,3140,2794,0,408
Tufted Duck,Aythya fuligula,3194,2767,0,409
Zone-tailed Hawk,Buteo albonotatus,3496,2753,0,410
Gray Catbird,Dumetella carolinensis,2954,2612,0,411
Rock Pigeon,Columba livia,2710,2555,0,412
Lesser Black-backed Gull,Larus fuscus,3054,2531,0,413
Crissal Thrasher,Toxostoma crissale,2677,2516,0,414
Ovenbird,Seiurus aurocapilla,2716,2394,0,415
Thick-billed Kingbird,Tyrannus crassirostris,2691,2387,0,416
Pine Grosbeak,Pinicola enucleator,2591,2324,0,417
Orange-cheeked Waxbill,Estrilda melpoda,2425,2273,0,418
Juniper Titmouse,Baeolophus ridgwayi,2503,2268,0,419
American Goshawk,Astur atricapillus,2692,2219,0,420
Red-lored Amazon,Amazona autumnalis,2452,2188,0,421
Bobolink,Dolichonyx oryzivorus,2412,2172,0,422
Black-throated Magpie-Jay,Cyanocorax colliei,2504,2169,0,423
Manx Shearwater,Puffinus puffinus,2188,2151,0,424
Broad-winged Hawk,Buteo platypterus,2527,2082,0,425
Virginia's Warbler,Leiothlypis virginiae,2241,2042,0,426
